Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
royal-dress-up-4-6x,,,,,,,,Size,5/6,,,,,REPLACE-ROYAL-DRESS--5-6,300,shopify,0,deny,manual,39.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
royal-dress-up-4-6x,,,,,,,,Size,6X,,,,,REPLACE-ROYAL-DRESS--6X,300,shopify,0,deny,manual,39.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
hero-cape-mask-set,REPLACE: Hero Cape & Mask Set,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:little-kids, occasion:halloween, occasion:everyday, type:costume, merch:under-40",FALSE,Size,One Size,,,,,REPLACE-HERO-CAPE-MA-OneSize,300,shopify,0,deny,manual,22.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
wand-crown-accessory-pack,REPLACE: Wand & Crown Accessory Pack,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Accessory,"type:accessory, occasion:everyday, occasion:halloween, merch:under-25",FALSE,Size,Default,,,,,REPLACE-WAND-CROWN-A-Default,300,shopify,0,deny,manual,12.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
mask-cape-accessory-pack,REPLACE: Mask & Cape Accessory Pack,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Accessory,"type:accessory, occasion:halloween, merch:under-25",FALSE,Size,Default,,,,,REPLACE-MASK-CAPE-AC-Default,300,shopify,0,deny,manual,14.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
character-boot-covers,REPLACE: Character Boot Covers,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Footwear,"type:footwear, age:little-kids, occasion:halloween",FALSE,Size,S,,,,,REPLACE-CHARACTER-BO-S,300,shopify,0,deny,manual,16.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
character-boot-covers,,,,,,,,Size,M,,,,,REPLACE-CHARACTER-BO-M,300,shopify,0,deny,manual,16.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
character-boot-covers,,,,,,,,Size,L,,,,,REPLACE-CHARACTER-BO-L,300,shopify,0,deny,manual,16.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
recital-character-robe,REPLACE: Recital Character Robe,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:big-kids, occasion:stage, type:costume",FALSE,Size,S,,,,,REPLACE-RECITAL-CHAR-S,300,shopify,0,deny,manual,32.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
recital-character-robe,,,,,,,,Size,M,,,,,REPLACE-RECITAL-CHAR-M,300,shopify,0,deny,manual,32.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
recital-character-robe,,,,,,,,Size,L,,,,,REPLACE-RECITAL-CHAR-L,300,shopify,0,deny,manual,32.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
sibling-halloween-coordinating-set,REPLACE: Sibling Halloween Coordinating Set,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:toddler, age:little-kids, occasion:halloween, type:costume, merch:best-seller",FALSE,Size,Set,,,,,REPLACE-SIBLING-HALL-Set,300,shopify,0,deny,manual,55.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
community-helper-doctor-kit,REPLACE: Community Helper Doctor Dress-Up,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:little-kids, occasion:book-character, occasion:everyday, type:costume",FALSE,Size,4,,,,,REPLACE-COMMUNITY-HE-4,300,shopify,0,deny,manual,30.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
community-helper-doctor-kit,,,,,,,,Size,5/6,,,,,REPLACE-COMMUNITY-HE-5-6,300,shopify,0,deny,manual,30.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
community-helper-doctor-kit,,,,,,,,Size,7/8,,,,,REPLACE-COMMUNITY-HE-7-8,300,shopify,0,deny,manual,30.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
one-size-dress-up-cape,REPLACE: One-Size Dress-Up Cape,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Accessory,"type:accessory, occasion:everyday, occasion:book-character, merch:under-25",FALSE,Size,One Size,,,,,REPLACE-ONE-SIZE-DRE-OneSize,300,shopify,0,deny,manual,15.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
